Recency,Frequency,MonetaryValue,Length
1,2,1680000,1856
20,1,5820000,1875
37,1,31515000,1892
63,1,1309000,1919
66,1,814000,1921
54,1,182400,1909
43,1,1153900,1898
18,1,11099000,1873
41,1,5628000,1896
22,1,10120000,1877
22,1,1221000,1878
42,4,2412700,1936
36,1,10615000,1891
41,1,6120000,1896
19,1,3990000,1874
22,2,1569700,1939
84,1,1210000,1939
52,1,450000,1907
18,1,10010000,1873
32,1,11110000,1887
58,1,1320000,1914
23,1,3640000,1878
66,1,2255000,1921
67,3,664356,1922
23,1,6720000,1878
25,1,11055000,1880
53,1,803000,1908
25,1,1218800,1881
30,1,6180000,1885
41,1,10010000,1896
19,1,6840000,1874
20,1,11099000,1875
18,1,10010000,1873
84,1,1210000,1939
64,12,10276000,1936
31,1,5520000,1886
29,1,6120000,1884
29,1,6240000,1884
35,1,855547,1890
19,1,11099000,1874
26,1,6720000,1881
27,1,6240000,1882
20,1,10560000,1875
25,1,1265000,1880
19,1,11099000,1874
22,2,1680000,1899
62,1,16335000,1917
23,1,10560000,1878
23,1,6120000,1878
24,2,22939400,1902
27,1,2560000,1882
65,1,480000,1921
23,1,11110000,1878
24,1,720000,1880
64,2,2090000,1920
26,1,5880000,1881
86,1,16159000,1941
69,1,715000,1924
18,1,10120000,1873
38,1,11000000,1893
61,4,4739600,1921
43,4,2765700,1912
11,3,1368270,1882
23,1,4355000,1878
40,2,1500609,1932
73,1,757900,1929
20,1,10010000,1875
16,8,8317607,1930
19,1,3640000,1874
27,1,5880000,1882
26,1,10659000,1881
76,1,973500,1932
24,1,5640000,1879
36,1,4030000,1891
26,1,1210000,1882
22,1,12540000,1877
37,1,14795000,1892
6,1,441000,1861
11,1,7645000,1866
21,4,4718400,1915
24,2,11220000,1879
78,1,759000,1933
29,1,6072000,1884
8,4,9389000,1903
44,1,1199000,1899
3,5,5872900,1872
22,1,12969000,1877
28,1,2145000,1883
6,1,650000,1861
31,1,4030000,1886
68,3,2230000,1923
25,10,7968142,1934
19,1,10175000,1874
80,1,11110000,1935
